original_trip_id,origin_lat,origin_lon,dest_lat,dest_lon,bike_duration,bike_distance,walktransit_duration,walktransit_distance,n_segments_walktransit,modes_used_walktransit,multimodal_duration,multimodal_distance,n_segments_multimodal,modes_used_multimodal
000EDF44C3F9B0A2,42.371141,-71.076198,42.365444861374,-71.0827714204788,7.2,1126,18.2,1088,1,WALK,7.2,1126,1,BICYCLE
002D4F3752EA4413,42.377945,-71.116865,42.3558543552201,-71.0545974599881,59.1,7658,38.1,6723,3,WALK + SUBWAY,34.3,6800,3,BICYCLE + SUBWAY + WALK
004013438469FA08,42.372076579154,-71.0899543390588,42.345392,-71.069616,43.1,5006,31.7,5872,7,WALK + BUS + SUBWAY,29.5,5267,5,BICYCLE + SUBWAY + WALK + BUS
00425015B6BCEB25,42.3436658245146,-71.0858237743378,42.3229311719595,-71.1001414060593,18.5,3208,14.6,3009,3,WALK + SUBWAY,12.8,3186,3,BICYCLE + SUBWAY + WALK
005488A2E82FFF3E,42.36507,-71.1031,42.366277,-71.09169,11.9,1526,12.8,2257,4,WALK + BUS,11.9,1526,1,BICYCLE
0086DEDCB9B45741,42.316966,-71.104374,42.3362444479688,-71.0879856348038,15.1,2717,12.2,2867,3,WALK + SUBWAY,15.1,2717,1,BICYCLE
009331EA548987A6,42.378722429,-71.10695374,42.36507,-71.1031,19.7,2633,14.9,2173,3,WALK + BUS,17,2358,3,BICYCLE + BUS + WALK
009525F372831AEF,42.3844522563584,-71.0751485452965,42.408156,-71.0429,36.9,4539,27.9,4931,3,WALK + BUS,25.5,4679,4,BICYCLE + BUS + WALK
00A7373034CE7946,42.352052,-71.07036,42.3613583766225,-71.0967027397783,32,3332,13.7,3371,5,WALK + TRAM + BUS,19.3,3372,3,BICYCLE + BUS + WALK
00B4C28A0FB98537,42.363564989894,-71.1004418404809,42.377309,-71.094428,20.2,2645,24.4,1961,3,WALK + BUS,20.2,2645,1,BICYCLE
00BDE36F0D988320,42.3502102,-71.0446705,42.3187027453201,-71.0588997766172,38,5837,28.7,5684,5,WALK + BUS + RAIL,26.8,5095,7,BICYCLE + BUS + WALK + SUBWAY
